userId,itemList
AED3CYXRK2RUCAGWLUCOZTFOFSPQ,['B00WS63GZK']
AGGUGXMFDDRETUY3BXX4O6UOZDCQ,"['B004RFGALC', 'B004UPTEH6', 'B006EWUOL8']"
AHLQVTMMUEVHAPRYQD6KJH2EIDOA,"['B00S51XM5Q', 'B00UVN2C8O', 'B00S51XHUQ', 'B00OTJZTZE', 'B0123ZAQJE', 'B0134EU9YA', 'B0123ZAUAO', 'B00OTJZNI2']"
AG26DL64MW2KGNDTMV5HJZSVEFNQ,"['B0123ZAQJE', 'B0123ZAUAO', 'B0134EU9YA', 'B00S51XHUQ', 'B00OTJZNI2', 'B00OTJZTZE', 'B00S51XM5Q', 'B00UVN2C8O']"
AEVM3B3XGPNWUFS5RNJWMYGS2FAQ,['B00DQGBYDC']
AEKDJAMCFO7NRWEOHVSKXTEAUYMA,"['B00UYTTLI4', 'B00UYTTXSM', 'B006DAD8HS', 'B00UYTTMNI', 'B00UYTU6Z6', 'B00UYTTDO6']"
AGAY7CPRLVY24VHVYCX76YS4R3UQ,"['B0134EU9YA', 'B00KV9TQXM', 'B00S51XM5Q', 'B0123ZAQJE', 'B00OTJZNI2', 'B0123ZAUAO', 'B00S51XHUQ', 'B00OTJZTZE', 'B00UVN2C8O']"
AHSRRA4O3WJJ7S6RBMG7KP2CB5GQ,['B00CSW4BGW']
AG6SH4SYVPEHQNUMLUAB7FKB6YZQ,['B004WO8HQ4']
AETQ4AA4SA2DTAFW4FJ57XOI2TVQ,['B00J8V1INU']
AFKWJL2ZEZT5O2FZJFIHGFOCHD2Q,['B00LGGVOL6']
AH375MQT6DKLWUBK3TSQVBOLXQYA,['B002NU5O9C']
AHFX3UF6B3PRMFZ2GRYNESQGI2SA,"['B0076W9Q4Q', 'B0076W9Q5A']"
AEKXQAEN24TPE3EYEJUXG3S5OBXQ,"['B0000BZL0U', 'B004861K1A', 'B0000BZL8G']"
AFBHDSIR6CJHDLGM5PHCGT4I3HJQ,['B00MYTSN18']
AF7TVVMHXMAJPJNEAN5FHFZ6E2MQ,"['B00004ZCJJ', 'B00009KLAE', 'B00004ZCJI']"
AGFUFK3DOUO2UK4HBVGDRETIIHTA,['B00XUV3JTK']
AF5QN6EHFR4ZZ6FCKEMZ3T4TTT2A,['B00NH13K8S']
AHAEWDPADAU2NTPASYXY3BU4YZTA,['B00AQUO5RI']
AE5LV6G2IQ3XDRR4EU6JL2EM2Y7Q,['B00XU1GDZM']
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,"['B0123ZAUAO', 'B00FO0DDPA', 'B008LTJJJ0', 'B00S51XHUQ', 'B0134EU9YA', 'B00OTJZNI2', 'B00OTJZTZE', 'B00453R808', 'B0123ZAQJE', 'B00S51XM5Q', 'B00UVN2C8O']"
AGJTZN4L5BPRNXGAF5J45GQ43BWQ,"['B0006BB9MG', 'B0098HVXVQ']"
AFEGB6Q3GUJRJ4NA3KN7VCRL5GJQ,['B011TW8UT0']
AGHFTWYLMVYY7DYN7L7R3YGWSBFQ,['B01CZ8BC4M']
AEL6GS7NN3S2FTXZ3VU7JOQYBYSA,['B00FPAVUHC']
